,0,1
"Blue Origin Launch Site, West Texas, Texas, USA",31.42,-104.76
"Brigitte, Hammaguir, Algeria, France",31.1,-2.84
"Cosmic Girl, Mojave Air and Space Port, California, USA",35.0,-118.0
"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",34.0,-119.0
"ELA-1, Guiana Space Centre, French Guiana, France",5.236,-52.775
"ELA-2, Guiana Space Centre, French Guiana, France",5.236,-52.775
"ELA-3, Guiana Space Centre, French Guiana, France",5.236,-52.775
"ELD, Guiana Space Centre, French Guiana, France",5.236,-52.775
"ELS, Guiana Space Centre, French Guiana, France",5.236,-52.775
"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",5.236,-52.775
"First Launch Pad, Satish Dhawan Space Centre, India",13.7335,80.2347
"Imam Khomeini Spaceport, Semnan Space Center, Iran",35.0,53.0
"Jiuquan Satellite Launch Center, China",40.9845,100.2087
"K-407 Submarine, Barents Sea Launch Area, Barents Sea",74.988396,37.106369
"K-496 Submarine, Barents Sea Launch Area, Barents Sea",74.988396,37.106369
"K-84 Submarine, Barents Sea Launch Area, Barents Sea",74.988396,37.106369
"LA-3, Wallops Flight Facility, Virginia, USA",37.9367,-75.4699
"LA-5B, RAAF Woomera Range Complex, Australia",-30.95,136.4595
"LA-Y1, Tanegashima Space Center, Japan",30.4,130.9687
"LA-Y2, Tanegashima Space Center, Japan",30.4,130.9687
"LC-1, Naro Space Center, South Korea",34.4319,127.5351
"LC-101, Wenchang Satellite Launch Center, China",19.652,110.963
"LC-11, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-12, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-13, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-14, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-16, Taiyuan Satellite Launch Center, China",38.8428,111.6051
"LC-18A, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-18B, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-19, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-2, Xichang Satellite Launch Center, China",28.2409423696,102.02259991
"LC-201, Wenchang Satellite Launch Center, China",19.652,110.963
"LC-26A, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-3, Xichang Satellite Launch Center, China",28.2409423696,102.02259991
"LC-34, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-39A, Kennedy Space Center, Florida, USA",28.6050359132,-80.6026042562
"LC-39B, Kennedy Space Center, Florida, USA",28.6050359132,-80.6026042562
"LC-5, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"LC-576A1, Vandenberg AFB, California, USA",34.7483,-120.51817
"LC-576A2, Vandenberg AFB, California, USA",34.7483,-120.51817
"LC-576B3, Vandenberg AFB, California, USA",34.7483,-120.51817
"LC-7, Taiyuan Satellite Launch Center, China",38.8428,111.6051
"LC-9, Taiyuan Satellite Launch Center, China",38.8428,111.6051
"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",0.0,-154.0
"Mayak-2, Kapustin Yar, Russia",48.569551,46.295814
"Mu Pad, Uchinoura Space Center, Japan",31.2523,131.0785
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"NB-52B Carrier, Edwards AFB, California, USA",34.924,-117.8912
"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.0482,167.7431
"Pad 1, Palmachim Airbase, Israel",31.892,34.6877
"Pad 1, Sohae Satellite Launching Station, North Korea",39.65,124.7
"Pad 1, Tonghae Satellite Launching Ground, North Korea",40.8499966,129.666664
"Pad A, Boca Chica, Texas, USA",25.0,-97.0
"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",-39.1559,177.8746
"SLC-17A, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-17B, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-1E (75-3-5), Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-1W (75-3-4), Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-20, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-2E (75-1-1), Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-2W, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-36A, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-36B, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-37B, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-3E, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-3W, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-40, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-41, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-46, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"SLC-4E, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-4W, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-5, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-576E, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-6, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-8, Vandenberg AFB, California, USA",34.7483,-120.51817
"SLC-N, Tanegashima Space Center, Japan",30.4,130.9687
"SLV LP, Satish Dhawan Space Centre, India",13.7335,80.2347
"SM Launch Tab, San Marco Launch Platform, Kenya",-2.0,40.0
"Santa Rita 2, San Marco Launch Platform, Kenya",-2.0,40.0
